path,label
/lamost/HD101055N362805B/spec-56267-HD101055N362805B_sp12-094.fits,emission
/lamost/GAC099N59V1/spec-56321-GAC099N59V1_sp08-111.fits,emission
/lamost/GAC099N59V1/spec-56321-GAC099N59V1_sp12-235.fits,emission
/lamost/GAC099N59V1/spec-56321-GAC099N59V1_sp06-243.fits,emission
/lamost/GAC099N59V1/spec-56321-GAC099N59V1_sp16-151.fits,emission
/lamost/B7601/spec-55876-B7601_sp05-085.fits,emission
/lamost/B7601/spec-55876-B7601_sp12-092.fits,emission
/lamost/B7601/spec-55876-B7601_sp13-076.fits,emission
/lamost/B7601/spec-55876-B7601_sp03-127.fits,emission
/lamost/B7601/spec-55876-B7601_sp04-127.fits,emission
/lamost/B7601/spec-55876-B7601_sp03-230.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp06-189.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp03-167.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp08-029.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp08-231.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp09-019.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp08-047.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp09-220.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp04-116.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp11-186.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp06-051.fits,emission
/lamost/GAC088N20V2/spec-56309-GAC088N20V2_sp03-211.fits,emission
/lamost/VB3_136N49_V1/spec-56021-VB3_136N49_V1_sp09-135.fits,emission
/lamost/VB3_136N49_V1/spec-56021-VB3_136N49_V1_sp13-246.fits,double-peak
/lamost/VB3_136N49_V1/spec-56021-VB3_136N49_V1_sp02-101.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp03-225.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp07-177.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp07-169.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp16-231.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp01-093.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp14-207.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp06-184.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp16-148.fits,emission
/lamost/GAC078N51V2/spec-56310-GAC078N51V2_sp05-058.fits,emission
/lamost/GAC101N53V2/spec-56326-GAC101N53V2_sp06-113.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-165.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-060.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-197.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-051.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-154.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp06-199.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-182.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-099.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-128.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-181.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-152.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-119.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-242.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-203.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-055.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-134.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-005.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-245.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-079.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-246.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-127.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-039.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-128.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-078.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-163.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-011.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-020.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-152.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-176.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-217.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-130.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-068.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-023.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-009.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-192.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-228.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-249.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-207.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-233.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-125.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-038.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-073.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-142.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-024.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-183.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-213.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-203.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp14-156.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp14-079.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-146.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-100.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-169.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-134.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-196.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-231.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-227.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-121.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-162.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-174.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-188.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-048.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-110.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-021.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-008.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-139.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-193.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-132.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-085.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-232.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-206.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-245.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-116.fits,double-peak
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-108.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-212.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-235.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-109.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-075.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-036.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-170.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-136.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp01-175.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-236.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-159.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-147.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp06-242.fits,double-peak
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-197.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp01-144.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-061.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-164.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-240.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-245.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-206.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-155.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-100.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-183.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-129.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-240.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-037.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-196.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp14-085.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-169.fits,double-peak
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-216.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-095.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-089.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp16-228.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-054.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-130.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-104.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-151.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-135.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-244.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-152.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-020.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-184.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-091.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-247.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-073.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-038.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-223.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-187.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-244.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-123.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-160.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-012.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-073.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp14-057.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-233.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-184.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-112.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-076.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-191.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-133.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-184.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-204.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp14-151.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-085.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp15-180.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-210.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-116.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-172.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-127.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-032.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp01-071.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-229.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-021.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-062.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-208.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-053.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-082.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-133.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-157.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-149.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-204.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-135.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-225.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-063.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp09-111.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-241.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-214.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-097.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp05-194.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp14-087.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp04-021.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-153.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-243.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp03-208.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-227.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp12-086.fits,emission
/lamost/GAC080N33B101/spec-56204-GAC080N33B101_sp08-006.fits,emission
